Date;PX_LAST;Returns;PX_OPEN;PX_HIGH;PX_LOW;VOLUME;VWAP;VIX;PX_ASK;PX_BID;SPREAD;HIST_CALL_IMP_VOL;VOLATILITY_30D;VOLATILITY_60D;VOLATILITY_90D;Mkt-RF;SMB;HML;RMW;CMA;RF;Price Earnings Ratio (P/E);BEst P/E Ratio;Price/Cash Flow
08.01.2024;185.56;0.024174854;182.085;185.600;181.500;59144470;184.4327;13.08;185.55;185.54;0.01;21.608;18.613;18.315;19.347;1.49;0.55;-1.31;-0.98;-0.49;0.022;28.9;28.12;24.92
09.01.2024;185.14;-0.002263419;183.920;185.150;182.730;42841809;184.3854;12.76;185.13;185.12;0.01;22.103;18.618;18.179;19.349;-0.21;-0.75;-0.9;-0.3;-0.18;0.022;28.84;28.06;24.86
10.01.2024;186.19;0.005671384;184.350;186.400;183.920;46792908;185.2622;12.69;186.15;186.14;0.01;21.93;18.682;18.208;19.318;0.5;-0.29;-0.44;0.24;-0.18;0.022;29;28.23;25
11.01.2024;185.59;-0.003222515;186.540;187.050;183.620;49128408;185.0841;12.44;185.59;185.58;0.01;21.948;18.642;18.115;19.323;-0.14;-0.66;-0.51;0.45;-0.13;0.022;28.91;28.14;24.92
12.01.2024;185.92;0.001778113;186.060;186.740;185.190;40477782;185.8254;12.7;185.92;185.91;0.01;22.042;18.622;18.03;18.284;-0.01;-0.21;-0.5;0.11;-0.28;0.022;28.96;28.19;24.97
16.01.2024;183.63;-0.012317126;182.160;184.260;180.934;65603041;182.8893;13.84;183.61;183.6;0.01;22.607;18.788;18.236;17.678;-0.47;-0.87;-0.64;0.13;-0.27;0.022;28.6;27.87;24.66
17.01.2024;182.68;-0.005173447;181.270;182.930;180.300;47317433;181.9291;14.79;182.66;182.65;0.01;23.283;18.659;17.977;17.695;-0.59;-0.16;-0.24;0.26;-0.23;0.022;28.45;27.73;24.53
18.01.2024;188.63;0.032570615;186.090;189.140;185.830;78005754;187.965;14.13;188.71;188.72;-0.01;22.668;20.135;19.127;18.481;0.87;-0.27;-0.34;0.71;-0.23;0.022;29.38;28.6;25.33
19.01.2024;191.56;0.015533054;189.330;191.950;188.820;68902985;190.6426;13.3;191.58;191.56;0.02;22.138;20.65;19.349;18.395;1.19;-0.37;0.65;-0.05;-0.27;0.022;29.84;28.98;25.73
22.01.2024;193.89;0.012163291;192.300;195.330;192.260;60133852;193.9893;13.19;193.89;193.87;0.02;20.117;20.75;19.191;18.357;0.39;1.83;0.58;-0.43;0.09;0.022;30.2;29.31;26.04
23.01.2024;195.18;0.006653257;195.020;195.750;193.830;42355590;194.8266;12.55;195.16;195.15;0.01;19.84;20.726;18.322;18.335;0.22;-0.69;-0.58;-0.18;0.21;0.022;30.4;29.51;26.21
